355) at least three (or four) people have birthday at the same day, probability: 1.0
356) at least three (or four) people have birthday at the same day, probability: 1.0
357) at least three (or four) people have birthday at the same day, probability: 1.0
358) at least three (or four) people have birthday at the same day, probability: 1.0
359) at least three (or four) people have birthday at the same day, probability: 1.0
360) at least three (or four) people have birthday at the same day, probability: 1.0
361) at least three (or four) people have birthday at the same day, probability: 1.0
362) at least three (or four) people have birthday at the same day, probability: 1.0
363) at least three (or four) people have birthday at the same day, probability: 1.0
364) at least three (or four) people have birthday at the same day, probability: 1.0
365) at least three (or four) people have birthday at the same day, probability: 1.0
366) at least three (or four) people have birthday at the same day, probability: 1.0
